time,ms,coin,round,side,from_ask,to_ask,drop_pct,t_left,sum_at_dip,min_sum,outcome,hedge_after_s,shares,cost,proceeds,pnl
2026-09-22 23:36:56,1790113016761,btc,1790112600,Down,0.64,0.35,45.3,484,1.07,0.91,hedged,44.9,20.0,18.8691,20.0,1.1309
2026-09-22 23:36:56,1790113016762,eth,1790112600,Down,0.85,0.44,48.2,484,1.11,0.97,stopped,65.0,20.0,9.3465,8.455,-0.8915
2026-09-22 23:38:11,1790113091659,btc,1790112600,Up,0.54,0.42,22.2,409,1.03,0.89,hedged,50.0,20.0,18.4909,20.0,1.5091
2026-09-22 23:38:06,1790113086707,eth,1790112600,Up,0.55,0.43,21.8,414,1.03,0.92,hedged,55.0,20.0,19.0944,20.0,0.9056
2026-09-22 23:40:06,1790113206384,btc,1790112600,Up,0.52,0.43,17.3,295,1.03,1.01,stopped,60.0,20.0,9.145,4.3521,-4.7929
2026-09-22 23:40:06,1790113206386,eth,1790112600,Up,0.5,0.34,32.0,295,1.03,1.03,stopped,60.0,20.0,7.3185,3.0118,-4.3067
2026-09-22 23:41:56,1790113316437,eth,1790112600,Up,0.13,0.1,23.1,185,1.03,1.02,stopped,65.0,20.0,2.3371,0.9335,-1.4036
2026-09-22 23:42:26,1790113346420,btc,1790112600,Up,0.18,0.11,38.9,155,1.03,1.02,stopped,60.0,20.0,2.5478,0.7462,-1.8016
2026-09-22 23:43:31,1790113411439,btc,1790112600,Up,0.06,0.03,50.0,90,1.03,1.03,held_to_resolution,,20.0,0.8538,,
2026-09-22 23:43:16,1790113396401,eth,1790112600,Up,0.08,0.06,25.0,105,1.03,1.03,held_to_resolution,,20.0,1.4911,,
