time,ms,checked,sum_below_1,sum_below_0_99,net_positive,best_sum,best_net_pct,median_sum,best_question
2026-09-22 23:36:59,1790113019855,164,0,0,0,1.001,-0.1,1.01,Strait of Hormuz traffic returns to normal by September 30?
2026-09-22 23:42:04,1790113324326,164,0,0,0,1.001,-0.1,1.01,Strait of Hormuz traffic returns to normal by September 30?
2026-09-22 23:47:08,1790113628426,164,0,0,0,1.001,-0.1,1.01,Strait of Hormuz traffic returns to normal by September 30?
2026-09-22 23:52:12,1790113932685,163,0,0,0,1.001,-0.1,1.01,Strait of Hormuz traffic returns to normal by September 30?
2026-09-22 23:57:16,1790114236835,163,0,0,0,1.001,-0.1,1.01,Strait of Hormuz traffic returns to normal by September 30?
2026-09-23 00:02:20,1790114540814,163,0,0,0,1.001,-0.1,1.01,Strait of Hormuz traffic returns to normal by September 30?
2026-09-23 00:07:24,1790114844890,163,0,0,0,1.001,-0.1,1.01,Israel x Iran ceasefire continues through September 30?
2026-09-23 00:12:28,1790115148937,163,0,0,0,1.001,-0.1,1.01,Will Yossi Cohen be the next Prime Minister of Israel?
2026-09-23 00:17:32,1790115452960,163,0,0,0,1.001,-0.1,1.01,Will Yossi Cohen be the next Prime Minister of Israel?
2026-09-23 00:22:37,1790115757276,163,0,0,0,1.001,-0.1,1.01,Will Yossi Cohen be the next Prime Minister of Israel?
2026-09-23 00:27:41,1790116061350,163,0,0,0,1.001,-0.1,1.01,Will Yossi Cohen be the next Prime Minister of Israel?
2026-09-23 00:32:45,1790116365374,163,0,0,0,1.001,-0.1,1.01,Strait of Hormuz traffic returns to normal by September 30?
2026-09-23 00:37:15,1790116635290,170,0,0,0,1.001,-0.1,1.01,Israel x Iran ceasefire continues through September 30?
2026-09-23 00:42:19,1790116939768,170,0,0,0,1.001,-0.1,1.01,Israel x Iran ceasefire continues through September 30?
2026-09-23 00:47:23,1790117243875,170,0,0,0,1.001,-0.1,1.01,Israel x Iran ceasefire continues through September 30?
2026-09-23 00:52:28,1790117548024,169,0,0,0,1.001,-0.1,1.01,Israel x Iran ceasefire continues through September 30?
2026-09-23 00:57:31,1790117851980,169,0,0,0,1.001,-0.1,1.01,Israel x Iran ceasefire continues through September 30?
2026-09-23 01:02:35,1790118155990,169,0,0,0,1.001,-0.1,1.01,Israel x Iran ceasefire continues through September 30?
2026-09-23 01:07:40,1790118460014,169,0,0,0,1.001,-0.1,1.01,Israel x Iran ceasefire continues through September 30?
2026-09-23 01:12:44,1790118764073,169,0,0,0,1.001,-0.1,1.01,Israel x Iran ceasefire continues through September 30?
2026-09-23 01:17:47,1790119067999,169,0,0,0,1.001,-0.1,1.01,Israel x Iran ceasefire continues through September 30?
2026-09-23 01:22:52,1790119372049,169,0,0,0,1.001,-0.1,1.01,Israel x Iran ceasefire continues through September 30?
2026-09-23 01:27:56,1790119676026,168,0,0,0,1.001,-0.1,1.01,Israel x Iran ceasefire continues through September 30?
2026-09-23 01:33:00,1790119980192,168,0,0,0,1.001,-0.1,1.01,Israel x Iran ceasefire continues through September 30?
2026-09-23 01:37:30,1790120250573,187,0,0,0,1.001,-0.1,1.01,"US announces end of Iranian blockade by December 31, 2026?"
2026-09-23 01:42:34,1790120554821,186,0,0,0,1.001,-0.1,1.01,"US announces end of Iranian blockade by December 31, 2026?"
2026-09-23 01:47:38,1790120858914,186,0,0,0,1.001,-0.1,1.01,Israel x Iran ceasefire continues through September 30?
2026-09-23 01:52:42,1790121162976,185,0,0,0,1.001,-0.1,1.01,Israel x Iran ceasefire continues through September 30?
2026-09-23 01:57:47,1790121467033,185,0,0,0,1.001,-0.1,1.01,Israel x Iran ceasefire continues through September 30?
2026-09-23 02:02:51,1790121771083,185,0,0,0,1.001,-0.1,1.01,Will Yossi Cohen be the next Prime Minister of Israel?
2026-09-23 02:07:55,1790122075272,185,0,0,0,1.001,-0.1,1.01,Saudi Oil Pipeline (East-West) restarts by September 22?
2026-09-23 02:12:59,1790122379237,185,0,0,0,1.001,-0.1,1.01,"US announces end of Iranian blockade by December 31, 2026?"
2026-09-23 02:18:03,1790122683251,184,0,0,0,1.001,-0.1,1.01,"US announces end of Iranian blockade by December 31, 2026?"
